NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),Category
6128,"SOUP,CHICK NOODLE,DRY,MIX",4.94,377,15.42,6.51,62.32,3.2,1.9,55.0,2.44,38.0,195.0,306.0,3643.0,1.65,0.286,1.969,2.268,1.398,74.0,"Soups, Sauces, and Gravies"
6120,"GRAVY,CHICKEN,DRY",3.85,381,11.27,9.73,62.09,0.7,1.84,146.0,1.33,40.0,249.0,404.0,4152.0,1.39,0.112,2.92,4.648,1.877,19.0,"Soups, Sauces, and Gravies"
6958,"GRAVY,INST BF,DRY",4.65,369,9.8,9.48,61.1,4.3,23.9,141.0,6.27,41.0,239.0,450.0,5203.0,0.76,0.146,4.88,3.659,0.938,11.0,"Soups, Sauces, and Gravies"
7913,SALAMI  PORK  BF  LESS NA,33.74,396,15.01,30.5,15.38,0.2,6.21,94.0,1.55,31.0,272.0,1372.0,623.0,3.08,0.088,10.58,13.32,3.067,90.0,Sausages and Luncheon Meats
7976,"SAUSAGE,CHICK OR TURKEY,ITALIAN STYLE,LOWER NA",56.01,183,21.43,4.46,14.25,0.0,0.81,0.0,1.29,43.0,286.0,1062.0,446.0,2.41,0.449,0.893,1.797,1.526,36.0,Sausages and Luncheon Meats
7951,"SCRAPPLE,PORK",62.47,213,8.06,13.87,14.06,0.3,0.2,7.0,1.89,13.0,76.0,158.0,482.0,1.06,0.212,4.732,6.156,1.664,49.0,Sausages and Luncheon Meats
7073,"SANDWICH SPREAD,PORK,BEEF",60.28,235,7.66,17.34,11.94,0.2,0.0,12.0,0.79,8.0,59.0,110.0,1013.0,1.02,0.13,5.977,7.584,2.565,38.0,Sausages and Luncheon Meats
7940,MACARONI & CHS LOAF  CHICK  PORK & BF,57.63,228,11.76,14.96,11.63,0.0,0.0,122.0,1.2,27.0,173.0,313.0,3.0,1.51,0.11,5.614,7.614,1.657,44.0,Sausages and Luncheon Meats
7900,"TURKEY,PORK,&BF SAUSAGE,LOFAT,SMOKED",76.3,101,8.0,2.5,11.54,0.6,0.0,10.0,2.2,16.0,74.0,243.0,796.0,1.2,0.134,0.85,1.026,0.329,21.0,Sausages and Luncheon Meats
7905,"FRANKFURTER,BF,PORK,& TURKEY,FAT FREE",71.5,109,12.5,1.59,11.21,0.0,0.0,54.0,1.78,14.0,132.0,220.0,880.0,2.92,0.117,0.5,0.74,0.35,41.0,Sausages and Luncheon Meats
7066,"TURKEY SAUSAGE,RED FAT,BROWN&SERVE,CKD",59.59,204,17.0,10.3,10.92,0.3,0.0,31.0,1.8,21.0,164.0,207.0,721.0,2.31,0.149,2.871,3.876,2.541,58.0,Sausages and Luncheon Meats
7977,"HAM,SMOKED,EX LN,LO NA",64.59,141,18.52,2.71,10.7,0.0,10.68,5.0,0.76,20.0,286.0,330.0,1062.0,1.78,0.245,1.786,0.609,0.187,50.0,Sausages and Luncheon Meats
7031,HAM SALAD SPREAD,62.6,216,8.68,15.53,10.64,0.0,0.0,8.0,0.59,10.0,120.0,150.0,1075.0,1.1,0.07,5.049,7.171,2.689,37.0,Sausages and Luncheon Meats
8032,"CEREALS RTE,KELLOGG,KELLOGG'S FRSTD RICE KRISPIES",2.5,384,4.3,0.4,91.3,0.5,40.2,6.0,18.0,23.0,81.0,59.0,371.0,0.8,0.164,0.1,0.1,0.1,0.0,Breakfast Cereals
8083,"CEREALS RTE,MALT-O-MEAL,CORN BURSTS",2.5,385,3.32,0.35,90.59,1.9,46.88,5.0,5.8,4.0,37.0,71.0,855.0,4.84,0.058,0.093,0.084,0.157,0.0,Breakfast Cereals
8409,"CEREALS RTE,MALT-O-MEAL,FRSTD FLAKES",3.0,389,4.25,0.87,90.2,1.2,39.27,3.0,11.6,12.0,46.0,82.0,451.0,0.24,0.12,0.107,0.171,0.435,0.0,Breakfast Cereals
8073,"CEREALS RTE,POST,GOLDEN CRISP",1.4,380,5.5,1.7,90.1,5.0,53.6,15.0,6.7,59.0,227.0,176.0,95.0,5.6,0.2,0.2,0.6,0.6,0.0,Breakfast Cereals
8501,"CEREALS RTE,MALT-O-MEAL,FRUITY DYNO-BITES",1.2,404,3.9,3.15,90.1,1.0,42.6,3.0,7.62,15.0,67.0,76.0,630.0,5.99,0.128,0.64,2.12,0.258,1.0,Breakfast Cereals
8355,"CEREALS RTE,QUAKER,MOTHER'S COCOA BUMPERS",2.5,382,4.21,1.61,89.91,2.7,43.12,16.0,2.06,61.0,166.0,226.0,452.0,1.11,0.09,0.31,0.32,0.66,0.0,Breakfast Cereals
8156,"CEREALS RTE,RICE,PUFFED,FORT",3.0,402,6.3,0.5,89.8,1.7,1.84,6.0,31.7,25.0,98.0,113.0,3.0,1.03,0.169,0.13,1.9385,0.696,0.0,Breakfast Cereals
8478,"CEREALS RTE,MALT-O-MEAL,GOLDEN PUFFS",2.76,370,5.77,0.89,89.72,2.6,51.34,11.0,7.92,46.0,222.0,204.0,204.0,7.3,0.296,0.161,0.22,0.349,0.0,Breakfast Cereals
8068,"CEREALS RTE,KELLOGG,KELLOGG'S CORN POPS",3.0,387,4.8,1.3,89.7,8.4,31.3,7.0,6.0,28.0,52.0,113.0,357.0,5.0,0.083,0.5,0.2,0.5,0.0,Breakfast Cereals
8476,"CEREALS RTE,MALT-O-MEAL,HONEY BUZZERS",1.88,379,3.45,1.72,89.66,3.4,37.93,14.0,31.03,28.0,69.0,121.0,759.0,12.93,0.09,0.585,0.495,0.585,0.0,Breakfast Cereals
