NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),Category
7972,"MEATBALLS,FRZ,ITALIAN STYLE",53.67,286,14.4,22.21,8.06,2.3,3.47,80.0,1.77,31.0,239.0,296.0,666.0,1.66,0.123,7.627,9.188,3.346,66.0,Sausages and Luncheon Meats
8071,"CEREALS RTE,KELLOGG,KELLOGG'S HONEY SMACKS",2.9,380,5.7,2.2,88.5,5.0,56.2,14.0,1.5,59.0,213.0,183.0,142.0,1.7,0.195,0.5,0.4,0.5,0.0,Breakfast Cereals
8672,"CEREALS RTE,MALT-O-MEAL,CHOC MARSHMLLW MATEYS",2.0,392,3.5,3.67,88.18,2.5,55.45,267.0,24.0,30.0,85.0,183.0,368.0,10.0,0.09,1.6,1.6,0.0,0.0,Breakfast Cereals
8073,"CEREALS RTE,POST,GOLDEN CRISP",1.4,380,5.5,1.7,90.1,5.0,53.6,15.0,6.7,59.0,227.0,176.0,95.0,5.6,0.2,0.2,0.6,0.6,0.0,Breakfast Cereals
8478,"CEREALS RTE,MALT-O-MEAL,GOLDEN PUFFS",2.76,370,5.77,0.89,89.72,2.6,51.34,11.0,7.92,46.0,222.0,204.0,204.0,7.3,0.296,0.161,0.22,0.349,0.0,Breakfast Cereals
8660,"CEREALS RTE,KELLOGG'S APPL JACKS W/ MARSHMALLOWS",2.5,378,4.3,2.8,89.6,7.4,51.1,10.0,16.1,23.0,61.0,90.0,381.0,5.4,0.09,1.5,0.4,0.7,0.0,Breakfast Cereals
8376,"CEREALS RTE,KELLOGG,KELLOGG'S MARSHMLLW FROOT LOOPS",2.5,376,4.59,2.79,89.3,7.4,49.9,9.0,15.5,25.0,65.0,95.0,393.0,5.19,0.086,1.5,0.5,0.69,0.0,Breakfast Cereals
8206,"CEREALS RTE,MALT-O-MEAL,COCO-ROOS",2.5,389,3.41,4.61,86.75,3.3,48.11,333.0,30.0,27.0,72.0,201.0,350.0,12.5,0.319,2.57,0.887,0.555,0.0,Breakfast Cereals
8083,"CEREALS RTE,MALT-O-MEAL,CORN BURSTS",2.5,385,3.32,0.35,90.59,1.9,46.88,5.0,5.8,4.0,37.0,71.0,855.0,4.84,0.058,0.093,0.084,0.157,0.0,Breakfast Cereals
8510,MILK & CRL BAR,8.69,413,6.47,10.98,72.05,0.4,45.97,410.0,5.99,21.0,155.0,254.0,319.0,0.84,0.049,9.114,1.186,0.239,6.0,Breakfast Cereals
8349,"CEREALS RTE,MALT-O-MEAL,TOOTIE FRUITIES",2.5,391,4.69,3.2,85.94,2.2,45.31,313.0,28.12,24.0,78.0,104.0,453.0,11.72,0.064,0.687,1.47,0.976,0.0,Breakfast Cereals
9009,"APPLES,DEHYD (LO MOIST),SULFURED,UNCKD",3.0,346,1.32,0.58,93.53,12.4,81.13,19.0,2.0,22.0,55.0,640.0,124.0,0.29,0.271,0.095,0.024,0.171,0.0,Fruits and Fruit Juices
9426,CANDIED FRUIT,16.7,322,0.34,0.07,82.74,1.6,80.68,18.0,0.17,4.0,5.0,56.0,98.0,0.05,0.029,0.01,0.008,0.02,0.0,Fruits and Fruit Juices
9079,"CRANBERRIES,DRIED,SWTND",15.79,308,0.17,1.09,82.8,5.3,72.56,9.0,0.39,4.0,8.0,49.0,5.0,0.1,0.063,0.088,0.298,0.182,0.0,Fruits and Fruit Juices
9163,"BLUEBERRIES,DRIED,SWTND",14.8,317,2.5,2.5,80.0,7.5,67.5,19.0,0.9,18.0,36.0,214.0,3.0,0.49,0.16,0.2,0.405,1.3,0.0,Fruits and Fruit Juices
9085,"CURRANTS,ZANTE,DRIED",19.21,283,4.08,0.27,74.08,6.8,67.28,86.0,3.26,41.0,125.0,892.0,8.0,0.66,0.468,0.028,0.047,0.18,0.0,Fruits and Fruit Juices
9044,"CHERRIES,TART,DRIED,SWTND",16.6,333,1.25,0.73,80.45,2.5,67.15,38.0,0.68,22.0,36.0,376.0,13.0,0.25,0.229,0.146,0.177,0.194,0.0,Fruits and Fruit Juices
9421,"DATES,MEDJOOL",21.32,277,1.81,0.15,74.97,6.7,66.47,64.0,0.9,54.0,62.0,696.0,1.0,0.44,0.362,1.592,1.9385,0.696,4.0,Fruits and Fruit Juices
9178,"MANGO,DRIED,SWTND",16.6,319,2.45,1.18,78.58,2.4,66.27,0.0,0.23,20.0,50.0,279.0,162.0,0.3,0.3,0.287,0.439,0.222,0.0,Fruits and Fruit Juices
9165,"LITCHIS,DRIED",22.3,277,3.8,1.2,70.7,4.6,66.1,33.0,1.7,42.0,181.0,1110.0,3.0,0.28,0.631,0.27,0.328,0.361,0.0,Fruits and Fruit Juices
9087,"DATES,DEGLET NOOR",20.53,282,2.45,0.39,75.03,8.0,63.35,39.0,1.02,43.0,62.0,656.0,2.0,0.29,0.206,0.032,0.036,0.019,0.0,Fruits and Fruit Juices
10870,"PORK,CURED,HAM & H2O PRODUCT,SLICE,BNLESS,LN,HTD,PAN-BROIL",71.2,123,15.09,5.06,4.69,0.0,4.69,8.0,0.74,17.0,240.0,272.0,1390.0,1.64,0.085,1.528,2.125,0.69,45.0,Pork Products
10921,"PORK,CURED,HAM & H2O PRDCT,SLICE,BNLESS,LN & FAT,HTD,PAN-BRL",71.14,124,15.08,5.13,4.69,0.0,4.69,8.0,0.74,17.0,240.0,272.0,1389.0,1.63,0.085,1.553,2.16,0.699,45.0,Pork Products
